@relation itdoesntmatter-weka.filters.unsupervised.attribute.Remove-R8-221

@attribute line_number numeric
@attribute num_words numeric
@attribute median_word_length numeric
@attribute mean_word_length numeric
@attribute journal_name {arxiv,jdm,plos}
@attribute expert_annotator numeric
@attribute section_name {abstract,introduction}
@attribute AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH0AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute class_label {AIM,BASE,CONT,OWN,MISC}

@data
14,8,4.5,5.25,arxiv,0,introduction,ADP,ADJ,DET,NOUN,NOUN,VERB,ADV,VERB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,VERB,ADV,VERB,NOUN,NOUN,DET,ADJ,ADP,MISC
15,14,5,5.428571,arxiv,0,introduction,NOUN,ADP,DET,NOUN,NOUN,VERB,ADJ,.,CONJ,DET,NOUN,NOUN,VERB,ADV,VERB,?,?,?,?,?,?,?,?,?,?,VERB,ADV,VERB,NOUN,NOUN,DET,CONJ,.,ADJ,VERB,NOUN,NOUN,DET,ADP,NOUN,MISC
16,25,5,5.48,arxiv,0,introduction,ADV,ADP,NOUN,NOUN,NOUN,.,DET,ADJ,VERB,ADJ,NOUN,VERB,ADV,ADJ,CONJ,VERB,.,VERB,ADP,NOUN,NOUN,ADP,VERB,.,VERB,CONJ,ADJ,ADV,VERB,NOUN,ADJ,VERB,ADJ,DET,.,NOUN,NOUN,NOUN,ADP,ADV,MISC
17,9,4,5.444444,arxiv,0,introduction,DET,NOUN,PRT,DET,ADJ,NOUN,NOUN,ADP,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADP,NOUN,NOUN,ADJ,DET,PRT,NOUN,DET,MISC
18,18,5.5,5.888889,arxiv,0,introduction,ADP,DET,NOUN,NOUN,.,DET,NOUN,VERB,ADV,NOUN,ADP,ADJ,NOUN,.,ADP,ADJ,ADP,DET,ADJ,NOUN,NOUN,ADJ,DET,ADP,ADJ,ADP,.,NOUN,ADJ,ADP,NOUN,ADV,VERB,NOUN,DET,.,NOUN,NOUN,DET,ADP,MISC
19,21,4,4.714286,arxiv,0,introduction,VERB,ADP,ADP,NOUN,PRT,VERB,NOUN,ADP,ADJ,NOUN,NOUN,.,NUM,NOUN,PRT,VERB,DET,NOUN,NOUN,.,.,NOUN,NOUN,DET,VERB,PRT,NOUN,NUM,.,NOUN,NOUN,ADJ,ADP,NOUN,VERB,PRT,NOUN,ADP,ADP,VERB,MISC
20,40,5,5.125,arxiv,0,introduction,ADP,DET,ADJ,NOUN,.,ADP,DET,NOUN,NOUN,VERB,ADJ,.,ADV,NOUN,PRT,NOUN,NOUN,NOUN,DET,ADJ,ADJ,DET,NOUN,NOUN,NOUN,PRT,NOUN,ADV,.,ADJ,VERB,NOUN,NOUN,DET,ADP,.,NOUN,ADJ,DET,ADP,MISC
21,24,4,4.958333,arxiv,0,introduction,DET,ADJ,ADJ,NOUN,VERB,ADP,DET,ADJ,NOUN,NOUN,VERB,VERB,ADP,DET,NOUN,NOUN,.,NOUN,ADP,PRON,PRON,ADP,NOUN,.,NOUN,NOUN,DET,ADP,VERB,VERB,NOUN,NOUN,ADJ,DET,ADP,VERB,NOUN,ADJ,ADJ,DET,MISC
22,29,4,4.862069,arxiv,0,introduction,PRON,VERB,VERB,VERB,NOUN,.,ADP,ADP,DET,NOUN,NOUN,CONJ,NOUN,.,DET,NOUN,NOUN,NOUN,VERB,VERB,VERB,VERB,NOUN,NOUN,NOUN,DET,.,NOUN,CONJ,NOUN,NOUN,DET,ADP,ADP,.,NOUN,VERB,VERB,VERB,PRON,MISC
23,19,4,4.473684,arxiv,0,introduction,ADP,NOUN,NOUN,ADP,DET,NOUN,NOUN,NOUN,.,PRON,VERB,VERB,VERB,NOUN,ADP,DET,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,DET,ADP,NOUN,VERB,VERB,VERB,PRON,.,NOUN,NOUN,NOUN,DET,ADP,NOUN,NOUN,ADP,MISC
24,15,4,4.866667,arxiv,0,introduction,DET,NOUN,VERB,ADV,ADJ,ADP,DET,NOUN,NOUN,.,CONJ,PRON,VERB,ADJ,ADP,ADJ,?,?,?,?,?,?,?,?,ADJ,ADP,ADJ,VERB,PRON,CONJ,.,NOUN,NOUN,DET,ADP,ADJ,ADV,VERB,NOUN,DET,MISC
25,25,4,5.6,arxiv,0,introduction,DET,ADJ,NOUN,ADP,DET,ADJ,VERB,ADJ,NOUN,VERB,ADV,ADJ,.,PRON,VERB,NOUN,ADP,DET,ADJ,PRT,PRT,ADJ,DET,ADP,NOUN,VERB,PRON,.,ADJ,ADV,VERB,NOUN,ADJ,VERB,ADJ,DET,ADP,NOUN,ADJ,DET,MISC
26,13,5,5.923077,arxiv,0,introduction,ADP,NOUN,.,DET,ADJ,NOUN,NOUN,ADP,NOUN,NOUN,ADV,VERB,ADP,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADP,VERB,ADV,NOUN,NOUN,ADP,NOUN,NOUN,ADJ,DET,.,NOUN,ADP,MISC
27,19,5,4.947368,arxiv,0,introduction,ADV,.,PRON,VERB,DET,NOUN,NOUN,.,ADP,DET,NOUN,ADP,NOUN,ADP,DET,ADJ,NOUN,VERB,ADV,VERB,VERB,ADV,VERB,NOUN,ADJ,DET,ADP,NOUN,ADP,NOUN,DET,ADP,.,NOUN,NOUN,DET,VERB,PRON,.,ADV,MISC
28,26,4.5,5.269231,arxiv,0,introduction,ADP,ADP,DET,.,NOUN,NOUN,CONJ,NOUN,.,NOUN,ADP,NOUN,NUM,NOUN,.,ADP,DET,NOUN,NOUN,VERB,VERB,NOUN,NOUN,DET,ADP,.,NOUN,NUM,NOUN,ADP,NOUN,.,NOUN,CONJ,NOUN,NOUN,.,DET,ADP,ADP,MISC
29,17,4,4.764706,arxiv,0,introduction,PRON,VERB,DET,NOUN,.,NOUN,NOUN,.,ADV,.,ADP,DET,NOUN,ADP,NOUN,VERB,ADJ,ADP,DET,NOUN,NOUN,DET,ADP,ADJ,VERB,NOUN,ADP,NOUN,DET,ADP,.,ADV,.,NOUN,NOUN,.,NOUN,DET,VERB,PRON,MISC
30,21,4,5,arxiv,0,introduction,PRON,VERB,ADJ,NOUN,ADP,PRON,ADV,VERB,ADP,DET,NOUN,VERB,ADV,VERB,.,DET,VERB,ADV,ADV,ADJ,ADJ,ADV,ADV,VERB,DET,.,VERB,ADV,VERB,NOUN,DET,ADP,VERB,ADV,PRON,ADP,NOUN,ADJ,VERB,PRON,MISC
31,25,4,4.68,arxiv,0,introduction,PRON,VERB,ADV,ADJ,PRT,VERB,ADP,DET,VERB,NOUN,NOUN,ADV,DET,ADJ,NOUN,ADP,NOUN,VERB,ADJ,PRT,PRT,ADJ,VERB,NOUN,ADP,NOUN,ADJ,DET,ADV,NOUN,NOUN,VERB,DET,ADP,VERB,PRT,ADJ,ADV,VERB,PRON,MISC
32,16,6.5,5.875,arxiv,0,introduction,ADP,DET,NOUN,NOUN,.,PRON,VERB,ADP,DET,ADJ,ADJ,ADJ,NOUN,.,ADV,ADJ,NOUN,NOUN,?,?,?,?,NOUN,NOUN,ADJ,ADV,.,NOUN,ADJ,ADJ,ADJ,DET,ADP,VERB,PRON,.,NOUN,NOUN,DET,ADP,AIM
33,23,4,4.956522,arxiv,0,introduction,VERB,ADP,ADV,DET,NOUN,.,NOUN,.,ADV,VERB,DET,NOUN,.,ADP,DET,PRON,VERB,DET,ADJ,NOUN,NOUN,ADJ,DET,VERB,PRON,DET,ADP,.,NOUN,DET,VERB,ADV,.,NOUN,.,NOUN,DET,ADV,ADP,VERB,OWN
34,10,4,6.1,arxiv,0,introduction,ADV,.,ADP,NOUN,ADP,NOUN,.,PRON,VERB,DET,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,DET,VERB,PRON,.,NOUN,ADP,NOUN,ADP,.,ADV,OWN
35,15,4,5.133333,arxiv,0,introduction,PRON,VERB,VERB,ADJ,PRT,VERB,ADP,ADP,ADJ,DET,ADJ,NOUN,VERB,ADV,ADJ,?,?,?,?,?,?,?,?,?,?,ADJ,ADV,VERB,NOUN,ADJ,DET,ADJ,ADP,ADP,VERB,PRT,ADJ,VERB,VERB,PRON,MISC
36,16,4,4.4375,arxiv,0,introduction,ADP,DET,ADJ,NOUN,.,PRON,VERB,VERB,NOUN,NOUN,ADP,DET,ADJ,NOUN,DET,ADJ,NOUN,?,?,?,?,?,?,NOUN,ADJ,DET,NOUN,ADJ,DET,ADP,NOUN,NOUN,VERB,VERB,PRON,.,NOUN,ADJ,DET,ADP,OWN
37,22,4,5.181818,arxiv,0,introduction,ADV,.,PRON,VERB,ADJ,ADP,DET,ADJ,NOUN,NOUN,ADP,DET,NOUN,NOUN,NOUN,VERB,ADP,NOUN,ADP,DET,DET,ADP,NOUN,ADP,VERB,NOUN,NOUN,NOUN,DET,ADP,NOUN,NOUN,ADJ,DET,ADP,ADJ,VERB,PRON,.,ADV,MISC
38,9,3,3.222222,arxiv,0,introduction,DET,ADJ,NOUN,ADP,NOUN,.,ADP,PRON,VERB,VERB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,VERB,VERB,PRON,ADP,.,NOUN,ADP,NOUN,ADJ,DET,MISC
39,24,5,5.625,arxiv,0,introduction,ADP,NOUN,NOUN,VERB,VERB,ADP,NOUN,ADP,ADJ,NOUN,.,ADV,ADJ,ADV,ADJ,NOUN,VERB,ADJ,NOUN,.,.,NOUN,ADJ,VERB,NOUN,ADJ,ADV,ADJ,ADV,.,NOUN,ADJ,ADP,NOUN,ADP,VERB,VERB,NOUN,NOUN,ADP,MISC
40,13,7,6.692308,arxiv,0,introduction,DET,ADJ,NOUN,PRT,VERB,ADJ,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,ADJ,VERB,PRT,NOUN,ADJ,DET,MISC
41,28,5,5.392857,arxiv,0,introduction,ADP,DET,ADJ,NOUN,ADP,NOUN,.,DET,ADJ,ADJ,NOUN,NOUN,VERB,DET,NOUN,ADP,DET,ADJ,NOUN,ADP,ADP,NOUN,ADJ,DET,ADP,NOUN,DET,VERB,NOUN,NOUN,ADJ,ADJ,DET,.,NOUN,ADP,NOUN,ADJ,DET,ADP,MISC
42,13,4,5.076923,arxiv,0,introduction,ADV,DET,NOUN,NOUN,PRT,DET,NOUN,.,CONJ,DET,VERB,ADV,ADJ,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADJ,ADV,VERB,DET,CONJ,.,NOUN,DET,PRT,NOUN,NOUN,DET,ADV,MISC
43,21,4,5.714286,arxiv,0,introduction,ADV,.,DET,NOUN,VERB,ADJ,.,ADV,PRON,VERB,NOUN,ADP,NOUN,.,NOUN,VERB,ADV,VERB,.,ADV,ADV,.,VERB,ADV,VERB,NOUN,.,NOUN,ADP,NOUN,VERB,PRON,ADV,.,ADJ,VERB,NOUN,DET,.,ADV,MISC
44,14,5.5,5.5,arxiv,0,introduction,DET,NOUN,VERB,DET,ADJ,NOUN,NOUN,.,ADV,DET,NOUN,ADP,DET,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,DET,ADP,NOUN,DET,ADV,.,NOUN,NOUN,ADJ,DET,VERB,NOUN,DET,MISC
45,20,4,4.55,arxiv,0,introduction,ADP,PRON,VERB,ADP,NOUN,VERB,ADJ,NOUN,.,ADV,DET,ADV,VERB,VERB,ADP,NUM,PRT,DET,ADJ,NOUN,NOUN,ADJ,DET,PRT,NUM,ADP,VERB,VERB,ADV,DET,ADV,.,NOUN,ADJ,VERB,NOUN,ADP,VERB,PRON,ADP,MISC
46,12,3,3.75,arxiv,0,introduction,ADP,DET,NOUN,NOUN,.,DET,NOUN,NOUN,ADV,PRT,ADP,ADJ,NUM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NUM,ADJ,ADP,PRT,ADV,NOUN,NOUN,DET,.,NOUN,NOUN,DET,ADP,MISC
47,14,4,5.071429,arxiv,0,introduction,ADV,DET,NOUN,NOUN,VERB,VERB,VERB,ADP,DET,NOUN,ADP,NOUN,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,NOUN,ADP,NOUN,DET,ADP,VERB,VERB,VERB,NOUN,NOUN,DET,ADV,MISC
48,28,5,5.285714,arxiv,0,introduction,PRON,VERB,DET,DET,NOUN,NOUN,.,NOUN,DET,NOUN,NOUN,NOUN,.,DET,ADJ,NOUN,ADP,NOUN,NOUN,VERB,VERB,NOUN,NOUN,ADP,NOUN,ADJ,DET,.,NOUN,NOUN,NOUN,DET,NOUN,.,NOUN,NOUN,DET,DET,VERB,PRON,MISC
